TIME | EVENT
0:02 | Student 175 arrives Priority: 2 Class choice: 1
0:03 | Student 152 arrives Priority: 2 Class choice: 1
0:04 | Student 175 started Processing from RS Queue Student's Priority is: 2
0:04 | Student 160 arrives Priority: 2 Class choice: 3
0:06 | Student 132 arrives Priority: 2 Class choice: 3
0:07 | Student 154 arrives Priority: 1 Class choice: 3
0:07 | Student 154 started Processing from GS Queue Student's Priority is: 1
0:07 | Student 154 enrolled in class section 3 Student's Priority is 1
0:08 | Student 152 started Processing from RS Queue Student's Priority is: 2
0:08 | Student 128 arrives Priority: 2 Class choice: 1
0:10 | Student 163 arrives Priority: 2 Class choice: 3
0:12 | Student 160 started Processing from RS Queue Student's Priority is: 2
0:13 | Student 125 arrives Priority: 1 Class choice: 2
0:13 | Student 125 started Processing from GS Queue Student's Priority is: 1
0:13 | Student 125 enrolled in class section 2 Student's Priority is: 1
0:14 | Student 132 started Processing from RS Queue Student's Priority is: 2
0:14 | Student 136 arrives Priority: 1 Class choice: 2
0:14 | Student 174 arrives Priority: 2 Class choice: 2
0:15 | Student 134 arrives Priority: 2 Class choice: 2
0:15 | Student 136 started Processing from GS Queue Student's Priority is: 1
0:15 | Student 136 enrolled in class section 2 Student's Priority is: 1
0:18 | Student 112 arrives Priority: 1 Class choice: 1
0:18 | Student 112 started Processing from GS Queue Student's Priority is: 1
0:18 | Student 112 enrolled in class section 1 Student's Priority is: 1
0:18 | Student 128 started Processing from RS Queue Student's Priority is: 2
0:21 | Student 163 started Processing from RS Queue Student's Priority is: 2
0:23 | Student 174 started Processing from RS Queue Student's Priority is: 2
0:23 | Student 172 arrives Priority: 1 Class choice: 1
0:23 | Student 172 started Processing from GS Queue Student's Priority is: 1
0:23 | Student 172 enrolled in class section 1 Student's Priority is: 1
0:24 | Student 129 arrives Priority: 2 Class choice: 1
0:25 | Student 134 started Processing from RS Queue Student's Priority is: 2
0:27 | Student 161 arrives Priority: 1 Class choice: 1
0:27 | Student 161 started Processing from GS Queue Student's Priority is: 1
0:27 | Student 161 enrolled in class section 1 Student's Priority is: 1
0:27 | Student 168 arrives Priority: 1 Class choice: 3
0:28 | Student 129 started Processing from RS Queue Student's Priority is: 2
0:29 | Student 120 arrives Priority: 1 Class choice: 2
0:29 | Student 168 started Processing from GS Queue Student's Priority is: 1
0:29 | Student 168 enrolled in class section 3 Student's Priority is 1
0:29 | Student 166 arrives Priority: 3 Class choice: 3
0:29 | Student 166 started Processing from EE Queue Student's Priority is: 3
0:30 | Student 104 arrives Priority: 3 Class choice: 2
0:31 | Student 120 started Processing from GS Queue Student's Priority is: 1
0:31 | Student 120 enrolled in class section 2 Student's Priority is: 1
0:33 | Student 146 arrives Priority: 2 Class choice: 2
0:33 | Student 146 started Processing from RS Queue Student's Priority is: 2
0:34 | Student 104 started Processing from EE Queue Student's Priority is: 3
0:35 | Student 144 arrives Priority: 2 Class choice: 2
0:35 | Student 170 arrives Priority: 3 Class choice: 3
0:36 | Student 108 arrives Priority: 1 Class choice: 2
0:36 | Student 108 started Processing from GS Queue Student's Priority is: 1
0:36 | Student 108 enrolled in class section 2 Student's Priority is: 1
0:36 | Student 144 started Processing from RS Queue Student's Priority is: 2
0:37 | Student 140 arrives Priority: 2 Class choice: 2
0:38 | Student 109 arrives Priority: 1 Class choice: 3
0:38 | Student 109 started Processing from GS Queue Student's Priority is: 1
0:38 | Student 109 enrolled in class section 3 Student's Priority is 1
0:38 | Student 140 started Processing from RS Queue Student's Priority is: 2
0:40 | Student 121 arrives Priority: 3 Class choice: 2
0:40 | Student 162 arrives Priority: 2 Class choice: 3
0:40 | Student 171 arrives Priority: 1 Class choice: 1
0:40 | Student 171 started Processing from GS Queue Student's Priority is: 1
0:40 | Student 171 enrolled in class section 1 Student's Priority is: 1
0:40 | Student 170 started Processing from EE Queue Student's Priority is: 3
0:41 | Student 153 arrives Priority: 2 Class choice: 1
0:41 | Student 162 started Processing from RS Queue Student's Priority is: 2
0:43 | Student 142 arrives Priority: 2 Class choice: 1
0:45 | Student 153 started Processing from RS Queue Student's Priority is: 2
0:45 | Student 121 started Processing from EE Queue Student's Priority is: 3
0:46 | Student 167 arrives Priority: 2 Class choice: 1
0:48 | Student 133 arrives Priority: 3 Class choice: 1
0:48 | Student 133 started Processing from EE Queue Student's Priority is: 3
0:49 | Student 142 started Processing from RS Queue Student's Priority is: 2
0:52 | Student 139 arrives Priority: 2 Class choice: 3
