TIME | EVENT
0:00 | Student 0 started Processing from EE Queue Student's Priority is: 0
0:00 | Student 129 arrives Priority: 3 Class choice: 3
0:00 | Student 129 started Processing from EE Queue Student's Priority is: 3
0:00 | Student 0 started Processing from RS Queue Student's Priority is: 0
0:00 | Student 0 started Processing from GS Queue Student's Priority is: 0
0:01 | Student 109 arrives Priority: 3 Class choice: 3
0:01 | Student 109 started Processing from EE Queue Student's Priority is: 3
0:03 | Student 117 arrives Priority: 3 Class choice: 2
0:03 | Student 117 started Processing from EE Queue Student's Priority is: 3
0:05 | Student 154 arrives Priority: 2 Class choice: 2
0:09 | Student 163 arrives Priority: 2 Class choice: 1
0:10 | Student 136 arrives Priority: 1 Class choice: 3
0:10 | Student 136 started Processing from GS Queue Student's Priority is: 1
0:10 | Student 136 enrolled in class section 3 Student's Priority is 1
0:13 | Student 141 arrives Priority: 1 Class choice: 1
0:13 | Student 141 started Processing from GS Queue Student's Priority is: 1
0:13 | Student 141 enrolled in class section 1 Student's Priority is: 1
0:13 | Student 170 arrives Priority: 1 Class choice: 3
0:13 | Student 170 started Processing from GS Queue Student's Priority is: 1
0:13 | Student 170 enrolled in class section 3 Student's Priority is 1
0:21 | Student 111 arrives Priority: 2 Class choice: 1
0:21 | Student 144 arrives Priority: 2 Class choice: 1
0:23 | Student 113 arrives Priority: 1 Class choice: 2
0:23 | Student 113 started Processing from GS Queue Student's Priority is: 1
0:23 | Student 113 enrolled in class section 2 Student's Priority is: 1
0:23 | Student 114 arrives Priority: 1 Class choice: 1
0:23 | Student 114 started Processing from GS Queue Student's Priority is: 1
0:23 | Student 114 enrolled in class section 1 Student's Priority is: 1
0:23 | Student 150 arrives Priority: 3 Class choice: 3
0:23 | Student 150 started Processing from EE Queue Student's Priority is: 3
0:28 | Student 132 arrives Priority: 2 Class choice: 2
0:28 | Student 172 arrives Priority: 2 Class choice: 2
0:34 | Student 104 arrives Priority: 1 Class choice: 2
0:34 | Student 104 started Processing from GS Queue Student's Priority is: 1
0:34 | Student 104 enrolled in class section 2 Student's Priority is: 1
0:37 | Student 103 arrives Priority: 2 Class choice: 3
0:38 | Student 110 arrives Priority: 1 Class choice: 2
0:38 | Student 110 started Processing from GS Queue Student's Priority is: 1
0:38 | Student 110 enrolled in class section 2 Student's Priority is: 1
0:41 | Student 157 arrives Priority: 1 Class choice: 3
0:41 | Student 157 started Processing from GS Queue Student's Priority is: 1
0:41 | Student 157 enrolled in class section 3 Student's Priority is 1
0:43 | Student 142 arrives Priority: 1 Class choice: 1
0:43 | Student 142 started Processing from GS Queue Student's Priority is: 1
0:43 | Student 142 enrolled in class section 1 Student's Priority is: 1
0:47 | Student 115 arrives Priority: 2 Class choice: 3
0:47 | Student 158 arrives Priority: 1 Class choice: 3
0:47 | Student 158 started Processing from GS Queue Student's Priority is: 1
0:47 | Student 158 enrolled in class section 3 Student's Priority is 1
0:49 | Student 146 arrives Priority: 3 Class choice: 1
0:49 | Student 146 started Processing from EE Queue Student's Priority is: 3
0:51 | Student 123 arrives Priority: 3 Class choice: 1
0:51 | Student 123 started Processing from EE Queue Student's Priority is: 3
0:51 | Student 143 arrives Priority: 2 Class choice: 2
0:52 | Student 122 arrives Priority: 3 Class choice: 3
0:52 | Student 122 started Processing from EE Queue Student's Priority is: 3
0:53 | Student 156 arrives Priority: 2 Class choice: 3
0:55 | Student 118 arrives Priority: 3 Class choice: 1
0:55 | Student 118 started Processing from EE Queue Student's Priority is: 3
